Movie,Genre,Director,Actors
Shamitabh (2015 - Hindi),Drama,R. Balki,"Amitabh Bachchan, Dhanush, Akshara Haasan"
MSG: The Messenger (2015 - Hindi),Action/Drama,Gurmeet Ram Rahim Singh and Jeetu Arora,"Gurmeet Ram Rahim Singh, Daniel Kaleb, Fllora Saini, Jayshree Soni, Olexandra Semen, Gaurav Gera, Jay Singh Rajpoot, Himanshu Tiwari"
Roy (2015 - Hindi),Romance/Thriller,Vikramjit Singh,"Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal"
Badlapur (2015 - Hindi),Action/Thriller,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Huma Qureshi, Yami Gautam, Vinay Pathak, Divya Dutta"
Qissa (2015 - Hindi),Historical Drama,Anup Singh,"Irrfan Khan, Tillotama Shome, Tisca Chopra, Faezeh Jalali, Rasika Duggal"
Ab Tak Chhappan 2 (2015 - Hindi),Crime/Drama,Aejaz Gulab,"Nana Patekar, Ashutosh Rana, Vikram Gokhale, Gul Panag"
Dum Laga Ke Haisha (2015 - Hindi),Comedy,Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar"
Badmashiyaan (2015 - Hindi),Romantic Comedy,Amit Khanna,"Suzzanna Mukherjee, Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan Mehra"
Coffee Bloom (2015 - Hindi),Romance/Drama,Manu Warrier,"Arjun Mathur, Sugandha Garg, Mohan Kapur"
Dirty Politics (2015 - Hindi),Political drama,K. C. Bokadia,"Mallika Sherawat, Jackie Shroff, Atul Kulkarni, Anupam Kher, Ashutosh Rana"
Hey Bro (2015 - Hindi),Comedy,Ajay Chandhok,"Ganesh Acharya, Nupur Sharma, Maninder Singh"
NH10 (2015 - Hindi),Thriller,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumar"
Dilliwali Zaalim Girlfriend (2015 - Hindi),Comedy,Japinder Kaur,"Divyendu Sharma, Jackie Shroff, Prachi Mishra, Ira Dubey"
Hunterrr (2015 - Hindi),Comedy,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar"
Barkhaa (2015 - Hindi),Romance,Shadaab Mirza,"Sara Loren, Taaha Shah, Shweta Pandit, Priyanshu Chatterjee"
Detective Byomkesh Bakshy (2015 - Hindi),Thriller,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Swastika Mukherjee, Divya Menon, Neeraj Kabi, Meiyang Chang"
Paisa Ho Paisa (2015 - Hindi),Comedy,Muktha Sunder,"Dhruv Bhandari, Madalasa Sharma, Kanishka Soni"
Luckhnowi Ishq (2015 - Hindi),Romance,Aanand Raut,"Adhyayan Suman, Karishma Kotak"
Dharam Sankat Mein (2015 - Hindi),Drama,Fuwad Khan,"Naseeruddin Shah, Paresh Rawal, Annu Kapoor, Murali Sharma"
Ek Paheli Leela (2015 - Hindi),Musical,Bobby Khan,"Sunny Leone, Jay Bhanushali, Mohit Ahlawat, Rajneesh Duggal, Rahul Dev, Jas Arora"
Court (2015 - Hindi),Drama,Chaitanya Tamhane,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni"
Margarita with a Straw (2015 - Hindi),Drama,Shonali Bose,"Kalki Koechlin, Revathi, Hussain Dalal"
Mr. X (2015 - Hindi),Sci fi/Thriller,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur, Nora Fatehi"
NH-8 Road to Nidhivan (2015 - Hindi),Horror,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakam Anand, Arjun Fauzdar, Swaroopa Ghosh"
Ek Adbhut Dakshina Guru Dakshina (2015 - Hindi),Dance/Drama,Kiran Phadnis,"Rajeev Govinda Pillai, Rajesh Shringarpure, Sulagna Panigrahi, Girish Karnad, Roopa Ganguly"
Ishq Ke Parindey (2015 - Hindi),Romance,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan"
Kaagaz Ke Fools (2015 - Hindi),Comedy,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit Behl"
Gabbar is Back (2015 - Hindi),Crime/Action,Krish,"Akshay Kumar, Shruti Haasan, Suman"
Sabki Bajegi Band (2015 - Hindi),Thriller/Drama,Anirudh Chawla,"Sumeet Vyas, Swara Bhaskar, Alekh Sangal, Shaurya Chauhan, Amol Parashar"
Kuch Kuch Locha Hai (2015 - Hindi),Comedy,Devang Dholakia,"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chabbra"
Piku (2015 - Hindi),Comedy/Drama,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan, Moushumi Chatterjee, Jisshu Sengupta"
Bombay Velvet (2015 - Hindi),Crime/Drama,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon"
Main Hoon Rajinikanth (2015 - Hindi),Spoof/Comedy/Thriller,Faisal Saif,"Adithya Menon, Kavita Radheshyam"
Tanu Weds Manu Returns (2015 - Hindi),Romance/Comedy,Anand L. Rai,"R. Madhavan, Kangana Ranaut"
I Love Desi (2015 - Hindi),Comedy,Pankaj Batra,"Vedant Bali, Priyanka Shah, Gulshan Grover"
Ishqedarriyaan (2015 - Hindi),Drama,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Kavin Dave, Mohit Dutta"
P Se PM Tak (2015 - Hindi),Comedy,Kundan Shah,"Meenakshi Dixit, Rocky Verma, Bharat Jadhav, Yashpal Sharma"
Welcome 2 Karachi (2015 - Hindi),Comedy,Ashish R Mohan,"Arshad Warsi, Jackky Bhagnani, Lauren Gottlieb, Ayub Khoso, Adnan Shah, Imran Hasnee"
Dil Dhadakne Do (2015 - Hindi),Drama,Zoya Akhtar,"Ranveer Singh, Priyanka Chopra, Farhan Akhtar, Anushka Sharma, Anil Kapoor, Shefali Shah"
Mere Genie Uncle 3D (2015 - Hindi),Drama,Ashish Bhavsar,"Tiku Talsania, Swati Kapoor, Shakti Kapoor, Ehsaan Qureshi"
Hamari Adhuri Kahani (2015 - Hindi),Romance/Drama,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao"
ABCD 2 (2015 - Hindi),Dance,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor , Prabhu Deva, Lauren Gottlieb, Dharmesh Yelande, Punit Pathak, Raghav Juyal"
Miss Tanakpur Haazir Ho (2015 - Hindi),Comedy/Drama,Vinod Kapri,"Annu Kapoor, Om Puri, Rahul Bagga, Hrishitaa Bhatt"
Uvaa (2015 - Hindi),Social/Comedy,Jasbir Bhaati,"Om Puri, Jimmy Shergill, Sangram Singh, Archana Puran Singh"
Bezubaan Ishq (2015 - Hindi),Romance,Jashwant Gangani,"Nishant Malkani, Mugdha Godse, Sneha Ullal"
Guddu Rangeela (2015 - Hindi),Comedy,Subhash Kapoor,"Arshad Warsi, Aditi Rao Hydari, Amit Sadh"
Second Hand Husband (2015 - Hindi),Drama,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra"
Baahubali (2015 - Hindi),Action,S. S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
I Love NY (2015 - Hindi),Romance/Drama,Radhika Rao,"Sunny Deol, Kangana Ranaut"
Thoda Lutf Thoda Ishq (2015 - Hindi),Romance/Drama,Sachin Gupta,"Hiten Tejwani, Sanjay Mishra"
Bajrangi Bhaijaan (2015 - Hindi),Action/Comedy/Drama,Kabir Khan,"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui, Harshaali Malhotra"
Aisa Yeh Jahaan (2015 - Hindi),Drama,Biswajeet Bora,"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma"
Masaan (2015 - Hindi),Drama,Neeraj Ghaywan,"Richa Chadha, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi"
Drishyam (2015 - Hindi),Drama/Thriller,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran, Rajat Kapoor"
Bangistan (2015 - Hindi),Comedy,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat"
All Is Well (2015 - Hindi),Drama,Umesh Shukla,"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak"
Brothers (2015 - Hindi),Drama,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan Stevens, Kareena Kapoor"
Gour Hari Dastaan (2015 - Hindi),Drama,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee"
Manjhi: The Mountain Man (2015 - Hindi),Drama,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte"
Rolling Dream (2015 - Hindi),Drama,Maahi Kaur,Saachi Tiwari
Kaun Kitney Pani Mein (2015 - Hindi),Social/Drama,Nila Madhab Panda,"Saurabh Shukla, Radhika Apte, Gulshan Grover"
Phantom (2015 - Hindi),Action/Thriller,Kabir Khan,"Saif Ali Khan, Katrina Kaif"
Welcome Back (2015 - Hindi),Romance/Comedy,Anees Bazmee,"John Abraham, Shruti Hassan, Anil Kapoor, Nana Patekar, Paresh Rawal, Dimple Kapadia"
Hero (2015 - Hindi),Action/Romance,Nikhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi, Sharad Kelkar"
Sorry Daddy (2015 - Hindi),Action/Drama,Vijay Pal and Shakur,"Shamim Khan, Mukesh Tiwari, Tinu Verma"
Katti Batti (2015 - Hindi),Romance/Comedy,Nikhil Advani,"Imran Khan, Kangana Ranaut"
Meeruthiya Gangster (2015 - Hindi),Crime/Comedy,Zeishan Quadri,"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita Sharma"
MSG-2:The Messenger (2015 - Hindi),Action/Thriller,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh
Kis Kisko Pyaar Karoon (2015 - Hindi),Comedy,Abbas-Mustan,"Kapil Sharma, Arbaz Khan, Manjari Phadnis, Simran Kaur Mundi, Elli Avram, Sai Lokur, Varun Sharma, Supriya Pathak"
Calendar Girls (2015 - Hindi),Drama,Madhur Bhandarkar,"Akanksha Puri, Kyra Dutt, Avani Modi, Ruhi Singh"
Bhaag Johnny (2015 - Hindi),Drama,Shivam Nair,"Kunal Khemu, Zoa Morani, Mandana Karimi"
Time Out (2015 - Hindi),Drama,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri"
Singh Is Bliing (2015 - Hindi),Comedy,Prabhu Deva,"Akshay Kumar, Amy Jackson"
Talvar (2015 - Hindi),Thriller,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Tabu"
Jazbaa (2015 - Hindi),Action/Drama,Sanjay Gupta,"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi"
Bumper Draw (2015 - Hindi),Comedy,Irshad Khan,"Rajpal Yadav, Zakir Hussain, Subrat Dutta, Rushad Rana"
Chinar Daastaan-E-Ishq (2015 - Hindi),Romantic/Drama,Sharique Minhaj,"Faisal Khan, Inayat Sharma, Dalip Tahil, Shahbaz Khan"
Pyaar Ka Punchnama 2 (2015 - Hindi),Comedy,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgal, Omkar Kapoor"
Wedding Pullav (2015 - Hindi),Comedy,Binod Pradhan,"Anushka Ranjan, Diganth Manchale, Karan Grover, Rishi Kapoor, Sonalli Sehgal"
Shaandaar (2015 - Hindi),Romance/Comedy,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur"
Titli (2015 - Hindi),Crime,Kanu Behl,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl"
Main Aur Charles (2015 - Hindi),Thriller,Prawaal Raman,"Randeep Hooda, Richa Chadha, Adil Hussain, Nandu Madhav"
