Movie,Genre,Director,Actors
Inteqam (2001 - Hindi),Drama,Aslam Azmi,"Harish, Jeet Upendra, Akshay Anand and others"
Inteqam -The Perfect Game (2004 - Hindi),Action,Pankuj Parashar,"Manoj Bajpai, Sharat Saxena, Vani Tripathi and others"
Inth Ka Jawaab Patthar (2001 - Hindi),Drama,S. Sachindra,"Puru Raj Kumar, Deepak Shirke, Divya Dutta and others"
Ishq Ho Gaya Mamu (2013 - Hindi),Comedy,Sumbul-Gazi,"Pratima Kazmi, Rajesh Vivek, Mushtaq Khan and others"
Ishq Mein Pagal (2013 - Hindi),Romance,Naresh Punjabi,"Numain Mahiti Calcuttawala, Aryan Singh, Alok Singh and others"
Ishq Qayamat (2004 - Hindi),Drama,V. Menon,"Shehzad Khan, Deepak Jethi, Suman Ranganathan and others"
Jaane Bhi Do Yaaron (1983 - Hindi),Comedy,Kundan Shah,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve and others"
Jaane Kahan Se Aayi Hai (2010 - Hindi),"Comedy, Fantasy, Romance",Milap Milan Zaveri,"Riteish Deshmukh, Jacqueline Fernandez, Ruslaan Mumtaz and others"
Jaane Kya Tune Kahi (2014 - Hindi),Romance,Abbas Tyrewala,"Imran Khan, John Abraham, Genelia D'Souza-Deshmukh and others"
Jaane Tu...Ya Jaane Na (2008 - Hindi),"Comedy, Romance",Abbas Tyrewala,"Imran Khan, Genelia D'Souza-Deshmukh, Manjari Phadnis and others"
Jab Jab Fools Mile (2013 - Hindi),Comedy,Sangeeth Sivan,"Sanjay Dutt, Bobby Deol and others"
Jab We Met (2007 - Hindi),Romance,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora and others"
Jai Veeru (2009 - Hindi),Comedy,Puneet Sira,"Fardeen Khan, Kunal Khemu, Dia Mirza and others"
Jail (2009 - Hindi),Drama,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpai and others"
Jannat (2008 - Hindi),"Drama, Sports",Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan, Javed Shaikh and others"
Jewel Thief (1967 - Hindi),Suspense,Vijay Anand,"Dev Anand, Vyjayanthimala, Ashok Kumar and others"
Jhankaar Beats (2003 - Hindi),Comedy,Sujoy Ghosh,"Juhi Chawla, Sanjay Suri, Rahul Bose and others"
Jhootha Hi Sahi (2010 - Hindi),"Comedy, Romance",Abbas Tyrewala,"John Abraham, Pakhi Tyrewala, Raghu Ram and others"
Jism (2003 - Hindi),"Thriller, Adult",Amit Saxena,"John Abraham, Bipasha Basu, Gulshan Grover and others"
Jism 2 (2012 - Hindi),"Drama, Romance, Thriller, Adult, Crime",Pooja Bhatt,"Sunny Leone, Randeep Hooda, Arunoday Singh and others"
Jodhaa Akbar (2008 - Hindi),Romance,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai-Bachchan, Sonu Sood and others"
Jodi Breakers (2012 - Hindi),Romance,Ashwini Chaudhary,"R. Madhavan, Bipasha Basu, Omi Vaidya and others"
Johnny Gaddaar (2007 - Hindi),Suspense,Sriram Raghavan,"Neil Nitin Mukesh, Dharmendra, Rimi Sen and others"
Johny Mera Naam (1970 - Hindi),Action,"Vijay Anand, Vijay Anand","Dev Anand, Hema Malini, Pran and others"
Johny Walker (2013 - Hindi),Drama,Shoojit Sircar,Amitabh Bachchan and others
Joker (2012 - Hindi),"Comedy, Drama, Fantasy, Adventure",Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade and others"
Jolly LLB (2013 - Hindi),"Comedy, Drama",Subhash Kapoor,"Arshad Warsi, Amrita Rao, Harsh Chhaya and others"
Jugaad (2009 - Hindi),Drama,Anand Kumar,"Manoj Bajpai, Hrishita Bhatt, Vijay Raaz and others"
Jumbo (2008 - Hindi),"Children, Animation",Kompin Kemgumnird,"Akshay Kumar, Lara Dutta, Dimple Kapadia and others"
Jaan-E-Mann: Let's Fall in Love... Again (2006 - Hindi),Romance,Shirish Kunder,"Akshay Kumar, Salman Khan, Preity Zinta and others"
Jab Pyar Kisi Se Hota Hai (1998 - Hindi),Romance,Deepak Sareen,"Salman Khan, Twinkle Khanna, Anupam Kher and others"
Jackpot (2013 - Hindi),"Suspense, Thriller",Amitabh Varma,"Konkona Sen Sharma, Ranvir Shorey and others"
Jai Ramji (2013 - Hindi),Comedy,Tigmanshu Dhulia,"Arjun Rampal, Jacqueline Fernandez and others"
Jai Santoshi Maa (1975 - Hindi),Musical,Vijay Sharma,"Bhagwan, Bharat Bhushan, Neelam and others"
Jal (2014 - Hindi),Social,Girish Mallik,"Purab Kohli, Tannishtha Chatterjee, Mukul Dev and others"
Jalwa (1987 - Hindi),Action,Pankuj Parashar,"Naseeruddin Shah, Amitabh Bachchan, Kamini Kaushal and others"
Jannat 2 (2012 - Hindi),"Drama, Thriller, Crime",Kunal Deshmukh,"Emraan Hashmi, Randeep Hooda, Esha Gupta and others"
Jashnn (2009 - Hindi),Musical,"Raksha Mistry, Hasnain Hyderabadwala","Adhyayan Suman, Anjana Sukhani, Shahana Goswami and others"
Jawab (1985 - Hindi),"Drama, Social",Ravi Tandon,"Raj Babbar, Smita Patil, Danny Denzongpa and others"
Jawani Diwani- A Youthful Ride (2006 - Hindi),Drama,Manish Sharma,"Emraan Hashmi, Celina Jaitley, Mahesh Manjrekar and others"
Jayanta Bhai Ki Luv Story (2013 - Hindi),"Action, Drama",Vinnil Markan,"Vivek Oberoi, Neha Sharma, Shishir Sharma and others"
Jhanak Jhanak Payal Baje (1955 - Hindi),Social,V. Shantaram,"Sandhya, Gopi Krishna, Nana Palsikar and others"
Jhoom Barabar Jhoom (2007 - Hindi),Romance,Shaad Ali,"Abhishek Bachchan, Preity Zinta, Lara Dutta and others"
Jhuk Gaya Aasman (1968 - Hindi),Fantasy,Lekh Tandon,"Rajendra Kumar, Saira Banu, Durga Khote and others"
Jimmy (2008 - Hindi),"Drama, Musical, Thriller",Raj N. Sippy,"Mimoh Chakraborty, Pooja Singh, Vikas Kalantri and others"
Jis Desh Men Ganga Behti Hai (1960 - Hindi),Social,Radhu Karmarkar,"Raj Kapoor, Padmini, Pran and others"
Jo Bole So Nihaal (2005 - Hindi),Action,Rahul Rawail,"Sunny Deol, Kamal Khan, Shilpi Sharma and others"
Jo Jeeta Wohi Sikandar (1992 - Hindi),Romance,Mansoor Khan,"Aamir Khan, Deepak Tijori, Ajit Vachani and others"
Jodi No.1 (2001 - Hindi),Comedy,David Dhawan,"Govinda, Sanjay Dutt, Twinkle Khanna and others"
Jogger's Park (2003 - Hindi),"Drama, Social",Anant Balani,"Perizaad Zorabian, Victor Banerjee, Khalid Siddiqui and others"
Josh (2000 - Hindi),Drama,Mansoor Khan,"Shah Rukh Khan, Aishwarya Rai-Bachchan, Chandrachur Singh and others"
Joshilaay (1989 - Hindi),Action,Sibte Hasan Rizvi,"Anil Kapoor, Sunny Deol, Sridevi and others"
Judaai (1997 - Hindi),"Drama, Family",Raj Kanwar,"Anil Kapoor, Sridevi, Urmila Matondkar and others"
Julie (1975 - Hindi),"Drama, Family",K. S. Sethumadhavan,"Utpal Dutta, Om Prakash, Achala Sachdev and others"
Junction (2013 - Hindi),Drama,Atul Sabharwal,"Abhay Deol, Vidya Malavade, Shilpa Shukla and others"
Jungle (2000 - Hindi),Action,Ram Gopal Varma,"Sunil Shetty, Fardeen Khan, Urmila Matondkar and others"
Kaagaz Ke Phool (1959 - Hindi),Social,Guru Dutt,"Guru Dutt, Waheeda Rehman, Naaz and others"
Kaamwali (2009 - Hindi),"Drama, Adult",Suresh Jain,"Akhtar Khan, Urmila, Vijay Dhadia and others"
Kaante (2002 - Hindi),Action,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty and others"
Kaante 2 (2013 - Hindi),Action,,"Sanjay Dutt, Arjun Rampal, Sunil Shetty and others"
Kabhi Alvida Na Kehna (2006 - Hindi),Romance,Karan Johar,"Shah Rukh Khan, Amitabh Bachchan, Abhishek Bachchan and others"
Kabhi Haan Kabhi Naa (1994 - Hindi),Romance,Kundan Shah,"Shah Rukh Khan, Suchitra Krishnamurty, Deepak Tijori and others"
Kabhi Khushi Kabhie Gham... (2001 - Hindi),"Drama, Family",Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan and others"
Kahaani (2012 - Hindi),"Drama, Thriller",Sujoy Ghosh,"Vidya Balan, Parambrato Chattopadhyay, Nawazuddin Siddiqui and others"
Kaho Naa... Pyaar Hai (2000 - Hindi),Romance,Rakesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher and others"
Kajraare (2010 - Hindi),Drama,Pooja Bhatt,"Himesh Reshammiya, Monalaizza, Amrita Singh and others"
Kal Ho Naa Ho (2003 - Hindi),Romance,Nikhil Advani,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta and others"
Kambakkht Ishq (2009 - Hindi),"Action, Romance",Sabbir Khan,"Akshay Kumar, Kareena Kapoor Khan, Brandon Routh and others"
Kaminey (2009 - Hindi),"Action, Drama, Romance, Crime",Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Amol Gupte and others"
Kanchana Remake (2013 - Hindi),,Raghava Lawrence,"Salman Khan, Sanjay Dutt and others"
Kandahar (2013 - Hindi),Action,Major Ravi,"Amitabh Bachchan, Mohanlal, Ganesh Venkatraman and others"
Karan Arjun (1995 - Hindi),Action,Rakesh Roshan,"Salman Khan, Shah Rukh Khan, Mamta Kulkarni and others"
Karma (1986 - Hindi),Drama,Subhash Ghai,"Dilip Kumar, Nutan, Jackie Shroff and others"
Karma Aur Holi (2009 - Hindi),Drama,Manish Gupta,"Sushmita Sen, Naomi Campbell, Randeep Hooda and others"
Karthik Calling Karthik (2010 - Hindi),"Drama, Romance, Thriller",Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor and others"
Karz (1980 - Hindi),"Drama, Social",Subhash Ghai,"Rishi Kapoor, Tina Munim, Simi Garewal and others"
Karzzzz (2008 - Hindi),Romance,Satish Kaushik,"Himesh Reshammiya, Shweta Kumar, Urmila Matondkar and others"
Khakee (2004 - Hindi),Action,Raj Kumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Aishwarya Rai-Bachchan and others"
Khal Nayak (1993 - Hindi),Action,Subhash Ghai,"Jackie Shroff, Madhuri Dixit-Nene, Sanjay Dutt and others"
Khamoshi The Musical (1996 - Hindi),Romance,Sanjay Leela Bhansali,"Salman Khan, Manisha Koirala, Nana Patekar and others"
Khatta Meetha (2010 - Hindi),"Comedy, Romance",Priyadarshan,"Akshay Kumar, Trisha Krishnan, Urvashi Sharma and others"
Khelein Hum Jee Jaan Sey (2010 - Hindi),"Thriller, Period",Ashutosh Gowariker,"Abhishek Bachchan, Deepika Padukone, Sikander Kher and others"
Khichdi The Movie (2010 - Hindi),Comedy,Aatish Kapadia,"Supriya Pathak, Anang Desai, Rajeev Mehta and others"
Khiladi 786 (2012 - Hindi),"Action, Comedy",Ashish R. Mohan,"Akshay Kumar, Himesh Reshammiya, Asin Thottumkal and others"
Khoon Bhari Maang (1988 - Hindi),Action,Rakesh Roshan,"Rekha, Kabir Bedi, Sonu Walia and others"
Khosla Ka Ghosla (2006 - Hindi),Comedy,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabbas and others"
Khote Sikkey (2013 - Hindi),Thriller,Soham Shah,"Sanjay Dutt, Arjun Rampal, Nana Patekar and others"
Khuda Gawah (1992 - Hindi),Costume,Mukul S. Anand,"Amitabh Bachchan, Sridevi, Danny Denzongpa and others"
Kick (2014 - Hindi),"Action, Romance",Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Randeep Hooda and others"
Kidnap (2008 - Hindi),Suspense,Sanjay Gadhvi,"Imran Khan, Minissha Lamba, Sanjay Dutt and others"
Kisaan (2009 - Hindi),Drama,Puneet Sira,"Jackie Shroff, Sohail Khan, Arbaaz Khan and others"
Kismat Konnection (2008 - Hindi),"Musical, Romance",Aziz Mirza,"Shahid Kapoor, Vidya Balan, Juhi Chawla and others"
Kismat Talkies (2013 - Hindi),"Comedy, Drama, Thriller",Zoya Akhtar,"Hrithik Roshan, Kareena Kapoor Khan and others"
Kisse Pyaar Karoon (2009 - Hindi),Romance,Ajay Chandok,"Arshad Warsi, Ashish Choudhary, Udita Goswami and others"
Kites (2010 - Hindi),"Action, Romance, Thriller",Anurag Basu,"Hrithik Roshan, Barbara Mori, Kangna Ranaut and others"
Knock Out (2010 - Hindi),Drama,Mani Shankar,"Sanjay Dutt, Irrfan Khan, Kangna Ranaut and others"
Koi... Mil Gaya (2003 - Hindi),Romance,Rakesh Roshan,"Hrithik Roshan, Preity Zinta, Rekha and others"
Komagata Maru (2013 - Hindi),Historical,Deepa Mehta,"Shreya, Akshay Kumar and others"
Koochie Koochie Hota Hai (2013 - Hindi),Animation,Tarun Mansukhani,"Shah Rukh Khan, Kajol, Rani Mukerji and others"
Krantiveer (1994 - Hindi),Action,Mehul Kumar,"Nana Patekar, Atul Agnihotri, Mamta Kulkarni and others"
Krantiveer - The Revolution (2010 - Hindi),Drama,Mehul Kumar,"Nana Patekar, Dimple Kapadia, Jahan Bloch and others"
Krazzy 4 (2008 - Hindi),Comedy,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan and others"
Krrish (2006 - Hindi),Action,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Naseeruddin Shah and others"
Krrish 3 (2013 - Hindi),"Action, Romance, Science Fiction",Rakesh Roshan,"Hrithik Roshan, Rekha, Riya Sen and others"
Kuch Kuch Hota Hai (1998 - Hindi),Romance,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji and others"
Kuchh Kariye (2010 - Hindi),Drama,Jagbir Dahiya,"Sukhwinder Singh, Vikram Kumar, Rufy Khan and others"
Ladies and Gentlemen (2013 - Hindi),,Raj Kumar Santoshi,"Aishwarya Rai-Bachchan, Abhishek Bachchan, Rajpal Yadav and others"
Lafangey Parindey (2010 - Hindi),Action,Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone, Piyush Mishra and others"
Lagaan (2001 - Hindi),Drama,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Paul Blackthorne and others"
Lage Raho Munna Bhai (2006 - Hindi),Comedy,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan and others"
Lahore (2010 - Hindi),Drama,Sanjay Puransingh Chauhan,"Aanaahad, Farooq Shaikh, Saurabh Shukla and others"
Lajjo (2013 - Hindi),Comedy,Mani Ratnam,"Aamir Khan, Kareena Kapoor Khan and others"
Lakshya (2004 - Hindi),War,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Amitabh Bachchan and others"
Lamhaa (2010 - Hindi),"Action, Drama, Political",Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor and others"
Lamhe (1991 - Hindi),Romance,Yash Chopra,"Anil Kapoor, Sridevi, Waheeda Rehman and others"
Lava-Kusa : The Warrior Twins (2010 - Hindi),"Children, Animation",Dhavala Satyam,"Arun Govil, Robert Lang, Vindu Dara Singh and others"
Lekin (1991 - Hindi),"Drama, Social",Gulzar,"Dimple Kapadia, Vinod Khanna, Amjad Khan and others"
Life Express (2010 - Hindi),Drama,Anup Das,"Divya Dutta, Rituparna Sengupta, Alok Nath and others"
Life In A... Metro (2007 - Hindi),Drama,Anurag Basu,"Shiney Ahuja, Shilpa Shetty Kundra, Sharman Joshi and others"
Life Partner (2009 - Hindi),"Comedy, Romance",Rumi Jaffrey,"Akshaye Khanna, Fardeen Khan, Tusshar Kapoor and others"
London Dreams (2009 - Hindi),Musical,Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal and others"
Lootera (2013 - Hindi),Romance,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha, Vikrant Massey and others"
Love Aaj Kal (2009 - Hindi),Drama,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor and others"
Love Ka Tadka (2009 - Hindi),Romance,"Rajan Wagdare, Gautam Adhikari","Sameer Dattani, Nauheed Cyrusi, Rakesh Bedi and others"
Love Khichdi (2009 - Hindi),Comedy,Srinivas Bhashyam,"Randeep Hooda, Sada, Riya Sen and others"
Love Sex Aur Dhokha (2010 - Hindi),"Drama, Romance",Dibakar Banerjee,"Anshuman Jha, Shruti, Neha Chauhan and others"
Love Story 2050 (2008 - Hindi),Romance,Harry Baweja,"Harman Baweja, Priyanka Chopra, Boman Irani and others"
Luck (2009 - Hindi),Thriller,Soham Shah,"Sanjay Dutt, Imran Khan, Shruti Haasan and others"
Luck By Chance (2009 - Hindi),Drama,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor and others"
L.O.C. Kargil (2003 - Hindi),War,J. P. Dutta,"Saif Ali Khan, Sanjay Dutt, Sunil Shetty and others"
Laaga Chunari Mein Daag (2007 - Hindi),Drama,Pradeep Sarkar,"Rani Mukerji, Konkona Sen Sharma, Jaya Bachchan and others"
Lajja (2001 - Hindi),"Drama, Social",Raj Kumar Santoshi,"Ajay Devgn, Manisha Koirala, Anil Kapoor and others"
Lakeer - Forbidden Lines (2004 - Hindi),Action,Ahmed Khan,"Sunil Shetty, John Abraham, Sunny Deol and others"
Libaas (1988 - Hindi),Drama,Gulzar,"Naseeruddin Shah, Shabana Azmi, Raj Babbar and others"
Life Mein Kabhie Kabhiee (2007 - Hindi),Drama,Vikram Bhatt,"Dino Morea, Aftab Shivdasani, Sameer Dattani and others"
Loins Of Punjab Presents (2007 - Hindi),Comedy,Manish Acharya,"Shabana Azmi, Seema Rehmani, Ayesha Dharker and others"
"London, Paris, New York (2012 - Hindi)",Comedy,Anu Menon,"Ali Zafar, Aditi Rao Hydari, Dalip Tahil and others"
Lottery (2009 - Hindi),Comedy,Hemant Prabhu,"Abhijeet Sawant, Sanjay Narvekar, Mukesh Tiwari and others"
Love Ke Liye Kuch Bhi Karega (2001 - Hindi),Comedy,E. Nivas,"Saif Ali Khan, Fardeen Khan, Sonali Bendre and others"
Love Story (1981 - Hindi),"Romance, Social",Rahul Rawail,"Kumar Gaurav, Vijeyta Pandit, Rajendra Kumar and others"
Lovesongs (2008 - Hindi),Drama,Jayabrato Chatterjee,"Jaya Bachchan, Om Puri, Shahana Chatterjee and others"
Lucky - No Time For Love (2005 - Hindi),Romance,"Radhika Rao, Vinay Sapru","Mithun Chakraborty, Salman Khan, Kader Khan and others"
Laal Batti (2013 - Hindi),"Action, Drama, Romance",Arshad Siddiqui,"Priyanshu Chatterjee, Laxmi Rai, Vijay Raaz and others"
Laat Saheb (1967 - Hindi),Social,Hari Walia,"Shammi Kapoor, Nutan, Prem Chopra and others"
Laawaris (1981 - Hindi),"Drama, Social",Prakash Mehra,"Amitabh Bachchan, Zeenat Aman, Mumtaz Begum and others"
Lahu Ke Do Rang (1979 - Hindi),Action,Mahesh Bhatt,"Vinod Khanna, Shabana Azmi, Danny Denzongpa and others"
Lakhon Ki Baat (1984 - Hindi),Comedy,Basu Chatterjee,"Sanjeev Kumar, Utpal Dutta, Farooq Shaikh and others"
Lara (2013 - Hindi),Drama,Deepak Bahry,"Hrishita Bhatt, Arbaaz Khan, Deepshikha and others"
Leader (1964 - Hindi),Musical,Ram Mukerji,"Dilip Kumar, Vyjayanthimala, Jayant and others"
Let's Dance (2009 - Hindi),Musical,Aarif Sheikh,"Gayatri Patel, Master Abhaas, Master Paras and others"
Let's Enjoy (2004 - Hindi),Drama,"Ankur Tewari, Siddarth Raj Anand","Ashish Choudhary, Shomendra Bose, Roshni Chopra and others"
Life Ise Gale Laga Le (2013 - Hindi),Romance,Yogesh Pagare,"Adhyayan Suman, Divya Dutta, Sushant Singh and others"
Life Ki Toh Lag Gayi (2012 - Hindi),Comedy,Rakesh Mehta,"Kay Kay Menon, Ranvir Shorey, Manu Rishi and others"
Life Reboot Nahi Hoti (2013 - Hindi),"Romance, Thriller",Avinash Nanda,"Rajat Barmecha, Jennifer Winget, Meiyang Chang and others"
Life's Good (2013 - Hindi),Drama,Anant Mahadevan,"Jackie Shroff, Rajit Kapur, Mohan Kapoor and others"
Lo..! Ho Gai Party (2013 - Hindi),Comedy,Tejas R. Padia,"Satish Kaushik, Manoj Joshi, Anirudhh Dave and others"
Maachis (1996 - Hindi),Drama,Gulzar,"Chandrachur Singh, Tabu, Om Puri and others"
Maalik Ek (2010 - Hindi),Devotional,Deepak Balraj Vij,"Jackie Shroff, Smriti Irani, Divya Dutta and others"
Maan Gaye Mughall-E-Azam (2008 - Hindi),Comedy,Sanjay Chhel,"Mallika Sherawat, Rahul Bose, Paresh Rawal and others"
Madhumati (1958 - Hindi),Social,Bimal Roy,"Dilip Kumar, Vyjayanthimala, Pran and others"
Maharathi (2008 - Hindi),Drama,Shivam Nair,"Paresh Rawal, Naseeruddin Shah, Neha Dhupia and others"
Main Aurr Mrs Khanna (2009 - Hindi),Comedy,Prem Soni,"Salman Khan, Kareena Kapoor Khan, Sohail Khan and others"
Main Azaad Hoon (1989 - Hindi),Action,Tinu Anand,"Amitabh Bachchan, Shabana Azmi, Manohar Singh and others"
Main Hoon Na (2004 - Hindi),Drama,Farah Khan,"Shah Rukh Khan, Sunil Shetty, Amrita Rao and others"
Maine Pyaar Kyun Kiya (2005 - Hindi),Comedy,David Dhawan,"Salman Khan, Katrina Kaif, Sushmita Sen and others"
Maine Pyar Kiya (1989 - Hindi),Romance,Sooraj R. Barjatya,"Salman Khan, Bhagyashree, Laxmikant Berde and others"
Mallika (2010 - Hindi),Horror,Wilson Louis,"Sameer Dattani, Sheena Nayar and others"
Maqbool (2004 - Hindi),Drama,Vishal Bhardwaj,"Irrfan Khan, Pankaj Kapur, Tabu and others"
Masoom (1983 - Hindi),"Drama, Children",Shekhar Kapur,"Naseeruddin Shah, Shabana Azmi, Jugal Hansraj and others"
Masters (2013 - Hindi),Comedy,Anil Sharma,"Sunny Deol, Bobby Deol, Dharmendra and others"
Masti (2004 - Hindi),Comedy,Indra Kumar,"Ajay Devgn, Vivek Oberoi, Aftab Shivdasani and others"
Meerabai Not Out (2008 - Hindi),"Drama, Sports",Chandrakant Kulkarni,"Mandira Bedi, Anupam Kher, Ejaz Khan and others"
Mera Naam Joker (1970 - Hindi),"Drama, Social",Raj Kapoor,"Raj Kapoor, Simi Garewal, Padmini and others"
Mere Baap Pehle Aap (2008 - Hindi),Comedy,Priyadarshan,"Akshaye Khanna, Paresh Rawal, Om Puri and others"
Milenge Milenge (2010 - Hindi),Romance,Satish Kaushik,"Shahid Kapoor, Kareena Kapoor Khan, Aarti Chhabria and others"
Mission 11 July (2010 - Hindi),"Action, Drama, Social",Vinod R. Thakur,"Vikram Gokhale, Mukesh Tiwari, Neena Kulkarni and others"
Mission Istaanbul (2008 - Hindi),"Action, Thriller",Apoorva Lakhia,"Zayed Khan, Vivek Oberoi, Shriya Saran and others"
Mission Kashmir (2000 - Hindi),Drama,Vidhu Vinod Chopra,"Sanjay Dutt, Hrithik Roshan, Preity Zinta and others"
Mithya (2008 - Hindi),Comedy,Rajat Kapoor,"Ranvir Shorey, Naseeruddin Shah, Neha Dhupia and others"
Mittal v/s Mittal (2010 - Hindi),Drama,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover and others"
Mohabbatein (2000 - Hindi),Romance,Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Aishwarya Rai-Bachchan and others"
Mohandas (2009 - Hindi),Thriller,Mazhar Kamran,"Sonali Kulkarni, Nakul Vaid, Sushant Singh and others"
Mohra (1994 - Hindi),Action,Rajiv Rai,"Akshay Kumar, Raveena Tandon, Sunil Shetty and others"
Money Hai Toh Honey Hai (2008 - Hindi),Comedy,Ganesh Acharya,"Govinda, Manoj Bajpai, Ravi Kishan and others"
Monsoon Wedding (2001 - Hindi),"Drama, Family",Mira Nair,"Naseeruddin Shah, Lillette Dubey, Parvin Dabbas and others"
Most Wanted (2013 - Hindi),Action,Boney Kapoor,"Salman Khan, Asin Thottumkal and others"
Mother: The Indira Gandhi Story (2013 - Hindi),"Drama, Political",Krishna Shah,"Madhuri Dixit-Nene, Tom Hanks, Helen Mirren and others"
Mr India 2 (2013 - Hindi),"Drama, Fantasy",Shekhar Kapur,"Salman Khan, Anil Kapoor, Sridevi and others"
Mr. Fraud (2013 - Hindi),Comedy,Abbas-Mustan,"Sanjay Dutt, Ajay Devgn, Bipasha Basu and others"
Mr. India (1987 - Hindi),"Comedy, Drama, Fantasy",Shekhar Kapur,"Anil Kapoor, Sridevi, Amrish Puri and others"
Mrityudand (1997 - Hindi),"Drama, Social",Prakash Jha,"Madhuri Dixit-Nene, Shabana Azmi, Ayub Khan and others"
Mudrank (2009 - Hindi),Drama,Shakir Shaikh,"Sudha Chandran, Milind Gunaji and others"
Mughal-E-Azam (1960 - Hindi),Historical,K. Asif,"Prithviraj Kapoor, Dilip Kumar, Madhubala and others"
Mujhse Shaadi Karogi (2004 - Hindi),Romance,David Dhawan,"Salman Khan, Akshay Kumar, Priyanka Chopra and others"
Mumbai 118 (2010 - Hindi),"Action, Drama",Rajeev,"Aditya Raj Kapoor, Kiran Jangani, Kohinoor Khan and others"
Mumbai Meri Jaan (2008 - Hindi),Drama,Nishikant Kamat,"R. Madhavan, Soha Ali Khan, Paresh Rawal and others"
Munna Bhai M.B.B.S. (2003 - Hindi),Comedy,Rajkumar Hirani,"Sanjay Dutt, Gracy Singh, Arshad Warsi and others"
Munnabhai Chale Amerika (2013 - Hindi),Comedy,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi and others"
Murder (2004 - Hindi),Action,Anurag Basu,"Emraan Hashmi, Ashmit Patel, Mallika Sherawat and others"
Musaa (2010 - Hindi),"Action, Thriller",Himanshu Bhatt,"Jackie Shroff, Samir Aftab, Sushant Singh and others"
Muskurake Dekh Zara (2010 - Hindi),"Comedy, Romance",Som Shekhar,"Gashmeer Mahajani, Twinkle Patel, Sunil Sabarwal and others"
My Friend Ganesha 3 (2010 - Hindi),"Children, Animation",Rajiv S. Ruia,"Baba Sehgal, Rahul Pendkalkar, Sayaji Shinde and others"
My Name Is Anthony Gonsalves (2008 - Hindi),Drama,E. Nivas,"Nikhil Dwivedi, Amrita Rao, Mithun Chakraborty and others"
My Name Is Khan (2010 - Hindi),Drama,Karan Johar,"Shah Rukh Khan, Kajol, Jimmy Shergill and others"
Madholal - Keep Walking (2010 - Hindi),Drama,Jai Tank,"Pranay Narayan, Subrat Dutta, Neela Gokhale and others"
Mahaan (1983 - Hindi),"Drama, Thriller",S. Ramanathan,"Amitabh Bachchan, Ashok Kumar, Zeenat Aman and others"
Na Ghar Ke Na Ghaat Ke (2010 - Hindi),Comedy,Rahul Agarwal,"Rahul Agarwal, Paresh Rawal, Narayani Shastri and others"
Naam (2013 - Hindi),Drama,Anees Bazmee,"Ajay Devgn, Bhoomika Chawla, Sameera Reddy and others"
Namastey London (2007 - Hindi),Drama,Vipul Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor and others"
Nayak (2001 - Hindi),Drama,Shankarsingh Raghuwanshi,"Anil Kapoor, Rani Mukerji, Pooja Batra and others"
New York (2009 - Hindi),Drama,Kabir Khan,"John Abraham, Katrina Kaif, Neil Nitin Mukesh and others"
No Entry (2005 - Hindi),Comedy,Anees Bazmee,"Salman Khan, Anil Kapoor, Fardeen Khan and others"
No Entry Mein Entry (2013 - Hindi),Comedy,Anees Bazmee,"Salman Khan, Anil Kapoor, Fardeen Khan and others"
No One Killed Jessica (2011 - Hindi),"Political, Thriller",Rajkumar Gupta,"Rani Mukerji, Vidya Balan, Rajesh Sharma and others"
